quarter,year,date,Underemployment rate1,Overemployment rate1,Underemployment rate (adjusted)2,Overemployment rate (adjusted)3,,,,,,,,,,,,,,
Q1,2002,Jan-Mar 2002,6.8,10.6,6.8,10.8,,,,,,,,,,,,,,
Q2,2002,Apr-Jun 2002,6.7,10.6,6.8,10.8,,,,,,,,,,,,,,
Q3,2002,Jul-Sep 2002,6.9,10.8,7.0,11.0,,,,,quarter,Data,,,,,,,,
Q4,2002,Oct-Dec 2002,6.6,10.7,6.6,10.9,,,,,Q1,,Q2,,Q3,,Q4,,Total Underemployment rate (adjusted),Total Overemployment rate (adjusted)
Q1,2003,Jan-Mar 2003,6.7,10.8,6.7,11.0,,,,year,Underemployment rate (adjusted),Overemployment rate (adjusted),Underemployment rate (adjusted),Overemployment rate (adjusted),Underemployment rate (adjusted),Overemployment rate (adjusted),Underemployment rate (adjusted),Overemployment rate (adjusted),,
Q2,2003,Apr-Jun 2003,6.5,10.8,6.6,11.0,,,,2002,6.829629745,10.76258195,6.785292754,10.78573974,6.975762759,11.00966775,6.639632608,10.92323251,27.23031787,43.48122195
Q3,2003,Jul-Sep 2003,6.7,11.3,6.8,11.5,,,,2003,6.738421378,10.97562583,6.595136077,10.96189288,6.807350515,11.51824587,6.698723148,11.22609595,26.83963112,44.68186052
Q4,2003,Oct-Dec 2003,6.6,11.0,6.7,11.2,,,,2004,6.622831315,10.96779604,6.343918279,11.18460486,6.547462488,10.86508899,6.314994719,10.6131614,25.8292068,43.6306513
Q1,2004,Jan-Mar 2004,6.5,10.8,6.6,11.0,,,,2005,6.419103782,10.50705023,6.484579918,9.980010091,6.610129047,10.31406221,6.579013991,10.15506036,26.09282674,40.95618289
Q2,2004,Apr-Jun 2004,6.3,11.0,6.3,11.2,,,,2006,6.754302117,9.898237052,6.503449737,9.889637657,7.022129761,10.07643863,6.954009509,10.07107358,27.23389112,39.93538692
Q3,2004,Jul-Sep 2004,6.5,10.7,6.5,10.9,,,,2007,7.225339579,10.00851655,6.809586813,10.05757988,7.320971446,10.45115321,7.143258486,10.47619717,28.49915632,40.99344681
Q4,2004,Oct-Dec 2004,6.2,10.4,6.3,10.6,,,,2008,7.373601373,10.15638769,7.103553001,9.745834596,7.697050163,9.596459979,8.097812512,9.24782311,30.27201705,38.74650537
Q1,2005,Jan-Mar 2005,6.3,10.3,6.4,10.5,,,,2009,9.088846324,9.003771431,9.478380207,9.079076138,9.913863427,9.223694851,9.664414753,9.498428453,38.14550471,36.80497087
Q2,2005,Apr-Jun 2005,6.4,9.8,6.5,10.0,,,,2010,9.876211348,9.780288735,9.59866116,10.04206675,10.37440312,9.770088716,10.32193058,9.573397203,40.17120621,39.1658414
Q3,2005,Jul-Sep 2005,6.5,10.1,6.6,10.3,,,,2011,10.09943598,9.370278794,9.804426227,8.967183412,10.35393957,8.972498653,10.51685614,9.15865494,40.77465791,36.4686158
Q4,2005,Oct-Dec 2005,6.5,10.0,6.6,10.2,,,,2012,10.50473322,8.979873953,10.5242981,8.857666463,10.82640647,9.344943846,10.58754012,9.313062641,42.44297791,36.4955469
Q1,2006,Jan-Mar 2006,6.7,9.7,6.8,9.9,,,,2013,10.80158986,8.848316681,10.54114779,9.09328431,10.59368025,9.365207541,10.503309,9.588415567,42.4397269,36.8952241
Q2,2006,Apr-Jun 2006,6.4,9.7,6.5,9.9,,,,2014,10.50935478,9.847072594,9.874587476,9.727284744,9.603695372,9.742584389,9.395430351,9.962906846,39.38306798,39.27984857
Q3,2006,Jul-Sep 2006,6.9,9.9,7.0,10.1,,,,2015,9.601627294,10.00764424,9.101356746,10.08437876,9.31221063,10.16770454,9.007932415,10.39976394,37.02312709,40.65949148
Q4,2006,Oct-Dec 2006,6.9,9.9,7.0,10.1,,,,2016,9.021701109,10.72327786,8.327839681,10.54375588,8.547348264,10.48968932,8.184072202,10.2774045,34.08096126,42.03412757
Q1,2007,Jan-Mar 2007,7.1,9.8,7.2,10.0,,,,2017,8.482401812,10.66296829,7.788637465,10.54774258,8.134334427,10.32538385,7.960094541,10.36789961,32.36546824,41.90399433
Q2,2007,Apr-Jun 2007,6.7,9.9,6.8,10.1,,,,2018,7.895983804,10.57249396,7.49294139,10.20849523,7.772671755,10.26133577,7.552664108,10.33402598,30.71426106,41.37635094
Q3,2007,Jul-Sep 2007,7.2,10.3,7.3,10.5,,,,2019,7.6103156,10.36604941,7.664687674,10.41622697,7.608657095,10.71604282,7.684184329,10.66913589,30.5678447,42.16745509
Q4,2007,Oct-Dec 2007,7.1,10.3,7.1,10.5,,,,2020,7.983237316,10.62346028,8.801409084,10.4953268,8.685785729,10.30663366,9.017092479,9.887397547,34.48752461,41.31281828
Q1,2008,Jan-Mar 2008,7.3,10.0,7.4,10.2,,,,2021,8.391687845,9.727412268,7.382823573,9.998805494,7.103526789,10.54623361,7.096152809,10.93548426,29.97419102,41.20793563
Q2,2008,Apr-Jun 2008,7.0,9.6,7.1,9.7,,,,2022,7.045922694,10.32799588,6.61264343,10.11312055,6.820605943,9.824408181,7.475112811,9.594302866,27.95428488,39.85982748
Q3,2008,Jul-Sep 2008,7.6,9.4,7.7,9.6,,,,2023,7.611009768,10.00492556,7.372627827,9.612203269,7.178599822,9.479541073,6.72283518,9.188682586,28.8850726,38.28535248
Q4,2008,Oct-Dec 2008,8.0,9.1,8.1,9.2,,,,Grand Total,182.487288,222.1220253,176.9919844,220.3919171,181.8105849,222.3671075,180.1170668,221.4616069,721.4069241,886.3426567
Q1,2009,Jan-Mar 2009,9.0,8.9,9.1,9.0,,,,,,,,,,,,,,
Q2,2009,Apr-Jun 2009,9.3,8.9,9.5,9.1,,,,,,,,,,,,,,
Q3,2009,Jul-Sep 2009,9.8,9.1,9.9,9.2,,,,,,,,,,,,,,
Q4,2009,Oct-Dec 2009,9.5,9.3,9.7,9.5,,,,,,,,,,,,,,
Q1,2010,Jan-Mar 2010,9.7,9.6,9.9,9.8,,,,,,,,,,,,,,
Q2,2010,Apr-Jun 2010,9.5,9.9,9.6,10.0,,,,,,,,,,,,,,
Q3,2010,Jul-Sep 2010,10.2,9.6,10.4,9.8,,,,,,,,,,,,,,
Q4,2010,Oct-Dec 2010,10.2,9.4,10.3,9.6,,,,,,,,,,,,,,
Q1,2011,Jan-Mar 2011,9.9,9.2,10.1,9.4,,,,,,,,,,,,,,
Q2,2011,Apr-Jun 2011,9.7,8.8,9.8,9.0,,,,,,,,,,,,,,
Q3,2011,Jul-Sep 2011,10.2,8.8,10.4,9.0,,,,,,,,,,,,,,
Q4,2011,Oct-Dec 2011,10.4,9.0,10.5,9.2,,,,,,,,,,,,,,
Q1,2012,Jan-Mar 2012,10.3,8.8,10.5,9.0,,,,,,,,,,,,,,
Q2,2012,Apr-Jun 2012,10.3,8.7,10.5,8.9,,,,,,,,,,,,,,
Q3,2012,Jul-Sep 2012,10.6,9.2,10.8,9.3,,,,,,,,,,,,,,
Q4,2012,Oct-Dec 2012,10.4,9.1,10.6,9.3,,,,,,,,,,,,,,
Q1,2013,Jan-Mar 2013,10.6,8.7,10.8,8.8,,,,,,,,,,,,,,
Q2,2013,Apr-Jun 2013,10.3,8.9,10.5,9.1,,,,,,,,,,,,,,
Q3,2013,Jul-Sep 2013,10.4,9.2,10.6,9.4,,,,,,,,,,,,,,
Q4,2013,Oct-Dec 2013,10.3,9.4,10.5,9.6,,,,,,,,,,,,,,
Q1,2014,Jan-Mar 2014,10.3,9.7,10.5,9.8,,,,,,,,,,,,,,
Q2,2014,Apr-Jun 2014,9.7,9.6,9.9,9.7,,,,,,,,,,,,,,
Q3,2014,Jul-Sep 2014,9.4,9.6,9.6,9.7,,,,,,,,,,,,,,
Q4,2014,Oct-Dec 2014,9.3,9.8,9.4,10.0,,,,,,,,,,,,,,
Q1,2015,Jan-Mar 2015,9.5,9.8,9.6,10.0,,,,,,,,,,,,,,
Q2,2015,Apr-Jun 2015,9.0,9.9,9.1,10.1,,,,,,,,,,,,,,
Q3,2015,Jul-Sep 2015,9.2,10.0,9.3,10.2,,,,,,,,,,,,,,
Q4,2015,Oct-Dec 2015,8.9,10.2,9.0,10.4,,,,,,,,,,,,,,
Q1,2016,Jan-Mar 2016,8.9,10.5,9.0,10.7,,,,,,,,,,,,,,
Q2,2016,Apr-Jun 2016,8.2,10.3,8.3,10.5,,,,,,,,,,,,,,
Q3,2016,Jul-Sep 2016,8.4,10.3,8.5,10.5,,,,,,,,,,,,,,
Q4,2016,Oct-Dec 2016,8.1,10.1,8.2,10.3,,,,,,,,,,,,,,
Q1,2017,Jan-Mar 2017,8.4,10.4,8.5,10.7,,,,,,,,,,,,,,
Q2,2017,Apr-Jun 2017,7.7,10.3,7.8,10.5,,,,,,,,,,,,,,
Q3,2017,Jul-Sep 2017,8.0,10.1,8.1,10.3,,,,,,,,,,,,,,
Q4,2017,Oct-Dec 2017,7.8,10.1,8.0,10.4,,,,,,,,,,,,,,
Q1,2018,Jan-Mar 2018,7.8,10.3,7.9,10.6,,,,,,,,,,,,,,
Q2,2018,Apr-Jun 2018,7.4,10.0,7.5,10.2,,,,,,,,,,,,,,
Q3,2018,Jul-Sep 2018,7.7,10.0,7.8,10.3,,,,,,,,,,,,,,
Q4,2018,Oct-Dec 2018,7.5,10.1,7.6,10.3,,,,,,,,,,,,,,
Q1,2019,Jan-Mar 2019,7.5,10.1,7.6,10.4,,,,,,,,,,,,,,
Q2,2019,Apr-Jun 2019,7.6,10.2,7.7,10.4,,,,,,,,,,,,,,
Q3,2019,Jul-Sep 2019,7.5,10.5,7.6,10.7,,,,,,,,,,,,,,
Q4,2019,Oct-Dec 2019,7.6,10.4,7.7,10.7,,,,,,,,,,,,,,
Q1,2020,Jan-Mar 2020,7.9,10.4,8.0,10.6,,,,,,,,,,,,,,
Q2,2020,Apr-Jun 2020,8.7,10.3,8.8,10.5,,,,,,,,,,,,,,
Q3,2020,Jul-Sep 2020,8.6,10.1,8.7,10.3,,,,,,,,,,,,,,
Q4,2020,Oct-Dec 2020,8.9,9.7,9.0,9.9,,,,,,,,,,,,,,
Q1,2021,Jan-Mar 2021,8.3,9.5,8.4,9.7,,,,,,,,,,,,,,
Q2,2021,Apr-Jun 2021,7.3,9.8,7.4,10.0,,,,,,,,,,,,,,
Q3,2021,Jul-Sep 2021,7.0,10.3,7.1,10.5,,,,,,,,,,,,,,
Q4,2021,Oct-Dec 2021,7.0,10.7,7.1,10.9,,,,,,,,,,,,,,
Q1,2022,Jan-Mar 2022,7.0,10.1,7.0,10.3,,,,,,,,,,,,,,
Q2,2022,Apr-Jun 2022,6.5,9.9,6.6,10.1,,,,,,,,,,,,,,
Q3,2022,Jul-Sep 20224,6.7,9.6,6.8,9.8,,,,,,,,,,,,,,
Q4,2022,Oct-Dec 2022,7.4,9.4,7.5,9.6,,,,,,,,,,,,,,
Q1,2023,Jan-Mar 2023,7.5,9.7,7.6,10.0,,,,,,,,,,,,,,
Q2,2023,Apr-Jun 2023,7.3,9.4,7.4,9.6,,,,,,,,,,,,,,
Q3,2023,Jul-Sep 2023,7.1,9.2,7.2,9.5,,,,,,,,,,,,,,
Q4,2023,Oct-Dec 2023,6.7,8.9,6.7,9.2,,,,,,,,,,,,,,
